Year,Table,County,Birth Weight in Grams,Number of Live Births
2012,11a,Yates,Not Stated,3
2012,11a,Yates,3500+,150
2012,11a,Yates,3000-3499,108
2012,11a,Yates,2500-2999,53
2012,11a,Yates,2000-2499,8
2012,11a,Yates,1500-1999,3
2012,11a,Yates,1000-1499,0
2012,11a,Yates,Under 1000,3
2012,11a,Yates,Total,328
2012,11a,Wyoming,Not Stated,0
2012,11a,Wyoming,3500+,172
2012,11a,Wyoming,3000-3499,117
2012,11a,Wyoming,2500-2999,58
2012,11a,Wyoming,2000-2499,18
2012,11a,Wyoming,1500-1999,4
2012,11a,Wyoming,1000-1499,2
2012,11a,Wyoming,Under 1000,5
2012,11a,Wyoming,Total,376
2012,11a,Westchester,Not Stated,15
2012,11a,Westchester,3500+,3510
2012,11a,Westchester,3000-3499,4227
2012,11a,Westchester,2500-2999,1910
2012,11a,Westchester,2000-2499,486
2012,11a,Westchester,1500-1999,134
2012,11a,Westchester,1000-1499,87
2012,11a,Westchester,Under 1000,70
2012,11a,Westchester,Total,10439
2012,11a,Wayne,Not Stated,2
2012,11a,Wayne,3500+,405
2012,11a,Wayne,3000-3499,341
2012,11a,Wayne,2500-2999,159
2012,11a,Wayne,2000-2499,34
2012,11a,Wayne,1500-1999,13
2012,11a,Wayne,1000-1499,8
2012,11a,Wayne,Under 1000,6
2012,11a,Wayne,Total,968
2012,11a,Washington,Not Stated,1
2012,11a,Washington,3500+,244
2012,11a,Washington,3000-3499,243
2012,11a,Washington,2500-2999,81
2012,11a,Washington,2000-2499,26
2012,11a,Washington,1500-1999,10
2012,11a,Washington,1000-1499,6
2012,11a,Washington,Under 1000,8
2012,11a,Washington,Total,619
2012,11a,Warren,Not Stated,0
2012,11a,Warren,3500+,253
2012,11a,Warren,3000-3499,208
2012,11a,Warren,2500-2999,88
2012,11a,Warren,2000-2499,22
2012,11a,Warren,1500-1999,4
2012,11a,Warren,1000-1499,4
2012,11a,Warren,Under 1000,3
2012,11a,Warren,Total,582
2012,11a,Ulster,Not Stated,2
2012,11a,Ulster,3500+,712
2012,11a,Ulster,3000-3499,585
2012,11a,Ulster,2500-2999,198
2012,11a,Ulster,2000-2499,59
2012,11a,Ulster,1500-1999,14
2012,11a,Ulster,1000-1499,10
2012,11a,Ulster,Under 1000,3
2012,11a,Ulster,Total,1583
2012,11a,Tompkins,Not Stated,0
2012,11a,Tompkins,3500+,380
2012,11a,Tompkins,3000-3499,349
2012,11a,Tompkins,2500-2999,152
2012,11a,Tompkins,2000-2499,37
2012,11a,Tompkins,1500-1999,12
2012,11a,Tompkins,1000-1499,7
2012,11a,Tompkins,Under 1000,5
2012,11a,Tompkins,Total,942
2012,11a,Tioga,Not Stated,0
2012,11a,Tioga,3500+,204
2012,11a,Tioga,3000-3499,179
2012,11a,Tioga,2500-2999,77
2012,11a,Tioga,2000-2499,17
2012,11a,Tioga,1500-1999,8
2012,11a,Tioga,1000-1499,3
2012,11a,Tioga,Under 1000,1
2012,11a,Tioga,Total,489
2012,11a,Sullivan,Not Stated,0
2012,11a,Sullivan,3500+,324
2012,11a,Sullivan,3000-3499,366
2012,11a,Sullivan,2500-2999,180
2012,11a,Sullivan,2000-2499,50
2012,11a,Sullivan,1500-1999,15
2012,11a,Sullivan,1000-1499,4
2012,11a,Sullivan,Under 1000,10
2012,11a,Sullivan,Total,949
2012,11a,Suffolk,Not Stated,0
2012,11a,Suffolk,3500+,5691
2012,11a,Suffolk,3000-3499,6013
2012,11a,Suffolk,2500-2999,2813
2012,11a,Suffolk,2000-2499,748
2012,11a,Suffolk,1500-1999,249
2012,11a,Suffolk,1000-1499,126
2012,11a,Suffolk,Under 1000,87
2012,11a,Suffolk,Total,15727
2012,11a,Steuben,Not Stated,1
2012,11a,Steuben,3500+,412
2012,11a,Steuben,3000-3499,442
2012,11a,Steuben,2500-2999,185
2012,11a,Steuben,2000-2499,52
2012,11a,Steuben,1500-1999,15
2012,11a,Steuben,1000-1499,5
2012,11a,Steuben,Under 1000,4
2012,11a,Steuben,Total,1116
2012,11a,Seneca,Not Stated,1
2012,11a,Seneca,3500+,163
2012,11a,Seneca,3000-3499,106
2012,11a,Seneca,2500-2999,50
2012,11a,Seneca,2000-2499,19
2012,11a,Seneca,1500-1999,7
2012,11a,Seneca,1000-1499,1
2012,11a,Seneca,Under 1000,3
2012,11a,Seneca,Total,350
2012,11a,Schuyler,Not Stated,1
2012,11a,Schuyler,3500+,90
2012,11a,Schuyler,3000-3499,73
2012,11a,Schuyler,2500-2999,24
2012,11a,Schuyler,2000-2499,6
2012,11a,Schuyler,1500-1999,2
2012,11a,Schuyler,1000-1499,1
2012,11a,Schuyler,Under 1000,0
2012,11a,Schuyler,Total,197
2012,11a,Schoharie,Not Stated,0
2012,11a,Schoharie,3500+,117
2012,11a,Schoharie,3000-3499,98
2012,11a,Schoharie,2500-2999,34
2012,11a,Schoharie,2000-2499,9
2012,11a,Schoharie,1500-1999,3
2012,11a,Schoharie,1000-1499,1
2012,11a,Schoharie,Under 1000,0
2012,11a,Schoharie,Total,262
2012,11a,Schenectady,Not Stated,1
2012,11a,Schenectady,3500+,738
2012,11a,Schenectady,3000-3499,707
2012,11a,Schenectady,2500-2999,327
2012,11a,Schenectady,2000-2499,97
2012,11a,Schenectady,1500-1999,39
2012,11a,Schenectady,1000-1499,9
2012,11a,Schenectady,Under 1000,20
2012,11a,Schenectady,Total,1938
2012,11a,Saratoga,Not Stated,0
