Year,Table,County,Method of Delivery,Count,Percent
2011,14,Warren,Not Stated,0,
2012,14,Queens,Not Stated,15,
2012,14,Wyoming,Total Births,376,
2008,14,New York State,Not Stated,1856,
2008,14,New York State,Vaginal Deliveries,162655,
2008,14,New York State,Total Births,249655,
2008,14,New York City,Vaginal Deliveries,81394,
2008,14,New York City,Total Births,121756,
2008,14,New York City,Not Stated,1086,
2008,14,Bronx,Total Births,23011,
2008,14,Bronx,Not Stated,335,
2008,14,Bronx,Vaginal Deliveries,15535,
2008,14,Kings,Total Births,41623,
2008,14,Kings,Not Stated,328,
2008,14,Kings,Vaginal Deliveries,29072,
2008,14,New York,Vaginal Deliveries,13376,
2008,14,New York,Not Stated,226,
2008,14,New York,Total Births,20306,
2008,14,Queens,Total Births,31063,
2008,14,Queens,Not Stated,154,
2008,14,Queens,Vaginal Deliveries,19961,
2008,14,Richmond,Not Stated,43,
2008,14,Richmond,Vaginal Deliveries,3450,
2008,14,Richmond,Total Births,5753,
2008,14,Rest of State,Not Stated,770,
2008,14,Rest of State,Total Births,127899,
2008,14,Rest of State,Vaginal Deliveries,81261,
2008,14,Albany,Total Births,3140,
2008,14,Albany,Vaginal Deliveries,2053,
2008,14,Albany,Not Stated,0,
2008,14,Allegany,Vaginal Deliveries,343,
2008,14,Allegany,Not Stated,4,
2008,14,Allegany,Total Births,519,
2008,14,Broome,Total Births,2074,
2008,14,Broome,Vaginal Deliveries,1396,
2008,14,Broome,Not Stated,2,
2008,14,Cattaraugus,Vaginal Deliveries,622,
2008,14,Cattaraugus,Not Stated,84,
2008,14,Cattaraugus,Total Births,1010,
2008,14,Cayuga,Vaginal Deliveries,628,
2008,14,Cayuga,Not Stated,2,
2008,14,Cayuga,Total Births,836,
2008,14,Chautauqua,Not Stated,32,
2008,14,Chautauqua,Total Births,1395,
2014,14,New York State,Vaginal Deliveries,154943,
2008,14,Chautauqua,Vaginal Deliveries,859,
2008,14,Chemung,Total Births,957,
2008,14,Chemung,Vaginal Deliveries,706,
2008,14,Chemung,Not Stated,1,
2008,14,Chenango,Vaginal Deliveries,389,
2008,14,Chenango,Total Births,540,
2008,14,Chenango,Not Stated,1,
2008,14,Clinton,Vaginal Deliveries,541,
2008,14,Clinton,Not Stated,2,
2008,14,Clinton,Total Births,768,
2008,14,Columbia,Not Stated,2,
2008,14,Columbia,Vaginal Deliveries,406,
2008,14,Columbia,Total Births,614,
2008,14,Cortland,Total Births,574,
2008,14,Cortland,Vaginal Deliveries,384,
2008,14,Cortland,Not Stated,0,
2008,14,Delaware,Not Stated,1,
2008,14,Delaware,Vaginal Deliveries,312,
2008,14,Delaware,Total Births,451,
2008,14,Dutchess,Not Stated,5,
2008,14,Dutchess,Vaginal Deliveries,1837,
2008,14,Dutchess,Total Births,2925,
2008,14,Erie,Vaginal Deliveries,6359,
2008,14,Erie,Not Stated,14,
2008,14,Erie,Total Births,9680,
2008,14,Essex,Vaginal Deliveries,255,
2008,14,Essex,Total Births,375,
2008,14,Essex,Not Stated,0,
2008,14,Franklin,Not Stated,5,
2008,14,Franklin,Total Births,533,
2008,14,Franklin,Vaginal Deliveries,350,
2008,14,Fulton,Total Births,632,
2008,14,Fulton,Not Stated,3,
2008,14,Fulton,Vaginal Deliveries,402,
2008,14,Genesee,Not Stated,1,
2008,14,Genesee,Vaginal Deliveries,426,
2008,14,Genesee,Total Births,629,
2008,14,Greene,Total Births,439,
2008,14,Greene,Vaginal Deliveries,287,
2008,14,Greene,Not Stated,0,
2008,14,Hamilton,Not Stated,0,
2008,14,Hamilton,Total Births,34,
